variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,rc_f,27.0,3.6,0xC0,809.5405,421.101,63.41980518070047,rc_f_T+027C_V3p6_code0xC0.log
as-committed,rc_f,85.0,3.0,0xC0,620.4685,397.751,62.24869036536558,rc_f_T+085C_V3p0_code0xC0.log
as-committed,rc_f,85.0,3.3,0xC0,741.0535,451.122,63.88925181533323,rc_f_T+085C_V3p3_code0xC0.log
as-committed,rc_f,85.0,3.6,0xC0,863.2783,500.649,66.68638360741993,rc_f_T+085C_V3p6_code0xC0.log
as-committed,rc_s,-40.0,3.0,0xC0,414.3587,165.441,32.86932798658932,rc_s_T-040C_V3p0_code0xC0.log
as-committed,rc_s,-40.0,3.3,0xC0,546.0835,196.241,35.61589679937743,rc_s_T-040C_V3p3_code0xC0.log
as-committed,rc_s,-40.0,3.6,0xC0,205.0932,232.468,38.07340934054951,rc_s_T-040C_V3p6_code0xC0.log
as-committed,rc_s,27.0,3.0,0xC0,434.3082,205.397,35.70153516601214,rc_s_T+027C_V3p0_code0xC0.log
as-committed,rc_s,27.0,3.3,0xC0,546.9061,235.711,38.39294798331442,rc_s_T+027C_V3p3_code0xC0.log
as-committed,rc_s,27.0,3.6,0xC0,671.6531,270.112,40.96530648194044,rc_s_T+027C_V3p6_code0xC0.log
as-committed,rc_s,85.0,3.0,0xC0,463.3284,243.399,37.676490811645806,rc_s_T+085C_V3p0_code0xC0.log
as-committed,rc_s,85.0,3.3,0xC0,564.3778,274.137,40.362047566673056,rc_s_T+085C_V3p3_code0xC0.log
as-committed,rc_s,85.0,3.6,0xC0,675.4248,307.912,42.95963534143137,rc_s_T+085C_V3p6_code0xC0.log
as-committed,tt,-40.0,3.0,0xFF,162.2808,237.061,47.81180889524361,tt_T-040C_V3p0_code0xFF.log
as-committed,tt,-40.0,3.3,0xFF,578.5792,277.508,53.78631450256534,tt_T-040C_V3p3_code0xFF.log
